event_id,person_track_id,timestamp,direction,confidence

10,239,2026-09-04T18:30:16,IN,0.597
1,29,2026-09-04T19:31:48,OUT,0.617
2,115,2026-09-04T19:32:40,OUT,0.609
3,136,2026-09-04T19:33:13,OUT,0.567
4,173,2026-09-04T19:33:48,OUT,0.717
1,24,2026-09-04T19:34:49,IN,0.478
2,3,2026-09-04T19:35:07,IN,0.798
3,97,2026-09-04T19:35:42,IN,0.818
4,122,2026-09-04T19:36:01,IN,0.893
5,137,2026-09-04T19:36:25,IN,0.535
1,14,2026-09-04T19:37:49,OUT,0.773
2,43,2026-09-04T19:38:53,OUT,0.64
3,56,2026-09-04T19:39:00,IN,0.76
1,7,2026-09-04T19:39:56,IN,0.754
2,12,2026-09-04T19:40:17,OUT,0.672
3,24,2026-09-04T19:40:19,IN,0.786
4,35,2026-09-04T19:40:37,IN,0.84
5,31,2026-09-04T19:40:44,OUT,0.458
6,49,2026-09-04T19:40:53,OUT,0.82
7,50,2026-09-04T19:41:12,OUT,0.499
8,78,2026-09-04T19:42:24,IN,0.542
9,123,2026-09-04T19:42:54,IN,0.582
10,124,2026-09-04T19:42:57,OUT,0.474
11,137,2026-09-04T19:43:26,OUT,0.506
12,166,2026-09-04T19:43:53,IN,0.724
13,193,2026-09-04T19:44:36,OUT,0.655
14,206,2026-09-04T19:44:55,OUT,0.534
15,127,2026-09-04T19:45:18,IN,0.523
16,230,2026-09-04T19:45:25,OUT,0.482
17,1,2026-09-04T21:39:37,IN,0.789
18,4,2026-09-04T21:39:47,IN,0.698
19,43,2026-09-04T21:39:59,IN,0.805
20,37,2026-09-04T21:40:09,IN,0.833
21,84,2026-09-04T21:40:25,OUT,0.707
22,92,2026-09-04T21:40:34,OUT,0.523
23,124,2026-09-04T21:40:44,OUT,0.482
24,153,2026-09-04T21:41:12,OUT,0.514
25,161,2026-09-04T21:41:31,IN,0.741
26,158,2026-09-04T21:41:35,OUT,0.464
27,214,2026-09-04T21:42:02,OUT,0.522
28,205,2026-09-04T21:42:06,OUT,0.609
29,235,2026-09-04T21:42:09,OUT,0.474
30,337,2026-09-04T21:44:52,OUT,0.497
31,339,2026-09-04T21:44:54,OUT,0.535
32,346,2026-09-04T21:44:55,IN,0.641
33,344,2026-09-04T21:44:56,OUT,0.626
34,340,2026-09-04T21:45:15,OUT,0.54
35,347,2026-09-04T21:45:17,OUT,0.546
36,355,2026-09-04T21:45:18,OUT,0.635
37,497,2026-09-04T21:47:12,IN,0.888
38,501,2026-09-04T21:47:14,IN,0.78
39,1,2026-09-04T21:47:31,OUT,0.582
40,17,2026-09-04T21:47:32,IN,0.588
41,15,2026-09-04T21:47:35,OUT,0.635
42,25,2026-09-04T21:47:37,OUT,0.537
43,33,2026-09-04T21:47:38,IN,0.606
44,35,2026-09-04T21:47:41,OUT,0.491
45,51,2026-09-04T21:47:46,OUT,0.654
46,52,2026-09-04T21:47:50,IN,0.847
47,67,2026-09-04T21:47:52,OUT,0.684
48,64,2026-09-04T21:47:54,IN,0.811
49,72,2026-09-04T21:48:12,IN,0.52
50,96,2026-09-04T21:48:14,OUT,0.562
51,59,2026-09-04T21:48:23,OUT,0.507
52,103,2026-09-04T21:48:24,OUT,0.516
53,114,2026-09-04T21:48:25,IN,0.481
54,154,2026-09-04T21:48:47,IN,0.841
55,55,2026-09-04T23:28:58,IN,0.634
56,82,2026-09-04T23:29:07,IN,0.671
57,176,2026-09-04T23:29:48,OUT,0.526
58,182,2026-09-04T23:29:52,OUT,0.469
59,105,2026-09-04T23:29:53,IN,0.58
60,180,2026-09-04T23:29:53,OUT,0.491
61,188,2026-09-04T23:29:54,IN,0.699
62,199,2026-09-04T23:30:07,IN,0.638
63,231,2026-09-04T23:30:19,OUT,0.502
64,248,2026-09-04T23:30:20,OUT,0.451
65,246,2026-09-04T23:30:24,OUT,0.45
66,268,2026-09-04T23:30:26,OUT,0.471
67,280,2026-09-04T23:30:30,OUT,0.625
68,279,2026-09-04T23:30:32,OUT,0.511
69,291,2026-09-04T23:30:34,IN,0.816
70,299,2026-09-04T23:30:42,OUT,0.512
71,304,2026-09-04T23:30:45,OUT,0.549
72,317,2026-09-04T23:30:52,OUT,0.499
73,315,2026-09-04T23:30:52,OUT,0.511
74,330,2026-09-04T23:30:57,IN,0.649
75,368,2026-09-04T23:31:01,OUT,0.49
76,352,2026-09-04T23:31:02,IN,0.588
77,374,2026-09-04T23:31:04,OUT,0.512
78,378,2026-09-04T23:31:06,OUT,0.451
79,380,2026-09-04T23:31:07,OUT,0.501
